name,rate,reserve,reviews,min_btc,max_btc
Гроза,6422154.0,3,0,0.00129,0.008
Dmoney,6421948.0,3,0,0.002335,0.031
BitBuy,6421906.0,3,0,0.00155711,1.0121215
Терминал,6421906.0,1,0,0.00155717,0.0155717
Cryptonet,6421772.0,4,0,0.00311441,0.03192265
LelekaCash,6421659.0,5,0,0.00389308,0.15276426
CryptoSell,6421649.0,1,0,0.00155723,0.02569434
ChangeExpert,6421525.0,4,0,0.00545042,0.15572625
Z-Obmen,6405878.0,8,0,0.00156107,0.03044079
Crypto-Polis,6392106.0,1,0,0.00243417,0.40569571
ObmennCom,6392106.0,1,0,0.00297242,0.02815973
Crypster,6388921.0,4,0,0.0016,0.0047
FlashObmen,6374960.0,3,0,0.0007843,0.007843
R2Exchange,6373285.0,1,0,0.002885,0.007212
ExchangeBro,6361227.0,3,0,0.00149342,0.01100417
чем на 60 мин.,6357702.0,7,0,0.00314579,0.05505134
GetBit,6357077.0,1,0,0.00235853,1.5723528
FreeChange,6357077.0,1,0,0.00162278,0.0097367
Обмен24,6357077.0,1,0,0.00471915,0.0786525
X-Pay,6355989.0,4,0,0.0021,0.11011353
Obmin,6355986.0,3,0,0.00314664,0.0629328
чем на 30 мин.,6355986.0,1,0,0.006136,0.078666
чем на 20 мин.,6355986.0,5,0,0.00472,0.086533
AtlasCash,6355771.0,4,0,0.00314675,0.03461421
Papa-Change,6352113.0,6,0,0.00078714,0.00787124
OneClick24,6347450.0,3,0,0.00315087,0.06301743
Easyex,6345438.0,2,0,0.00315187,0.03309464
ProfiCash,6345125.0,9,0,0.00315203,0.03152026
BitHunter,6340699.0,1,0,0.01,0.01025124
CoolCoin,6339378.0,1,0,0.005952,30
Wishex,6336130.0,5,0,0.00039456,0.00146777
Феникс,6333767.0,4,0,0.00094269,0.00549902
CoinClick,6330352.0,7,0,0.00078526,0.00549684
ColibriPay,6330352.0,4,0,0.00054967,0.00471149
PremierCash,6328887.0,2,0,0.00790028,2.92892722
FastChange,6327913.0,2,0,0.0063,0.3161
AllCash,6327913.0,3,0,0.0032,0.237
GramBit,6324883.0,9,0,0.005102,1
PlannEx,6314622.0,5,0,0.00237544,0.15836261
чем на 40 мин.,6307631.0,2,0,0.0021,0.07926905
ChangeProject,6307631.0,1,0,0.005466,30
взимаемая с получаемой валюты.,6307077.0,6,0,0.000358,0.05
GeekChange,6305450.0,8,0,0.0006,0.3663
Bixter,6299698.0,1,0,0.0032,0.1587
AllTop,6295443.0,1,0,0.007148,2.91076
SwapCoin,6291436.0,1,0,0.0048,0.4768
AvanChange,6284691.0,3,0,0.0017,0.064
SpbWMCasher,6284691.0,1,0,0.00604332,0.22264877
Exchange,6277964.0,3,0,0.01214688,0.08097919
ExpressMoney,6275793.0,9,0,0.00159342,0.00796696
КупиБит,6274533.0,9,0,0.00159374,0.00796856
TytCash,6271804.0,5,0,0.00031889,0.00148283
CryptoHome,6270122.0,9,0,0.00159487,0.00797417
Paxbit,6264864.0,3,0,0.0008,0.0032
